Rank,Occurrences,Lemma,Translation,Pronunciation
1,100210912,の,of,noh
2,48486620,に,to,nee
3,45359475,を,of,oh
4,44889871,は,is,hah
5,36248501,年,year,nen
6,35947527,が,is,gah
7,33512205,た,was,tah
8,31990565,で,in,deh
9,30603437,て,and,teh
10,27106309,と,and,toh
11,25876681,し,do,shee
12,22100273,月,month,getsu
13,19498084,日,day,nee
14,13622644,れ,be,reh
15,13476266,さ,be,sah
16,12525647,者,person,sha
17,11437408,する,do,suru
18,10751257,も,also,moh
19,10560217,ます,will,masu
20,10474017,利用,use,riyoh
21,8758344,こと,thing,kotoh
22,8719101,ある,there is,ahru
23,8447518,いる,be,eehru
24,8403153,な,not,nah
25,7117470,から,from,karah
26,6821996,い,go,ee
27,6511289,ない,not,nai
28,5975399,ページ,page,pehji
29,5552379,第,the,dai
30,4915429,へ,to,eh
31,4864865,や,and,yah
32,4802145,日本,Japan,nihon
33,4730669,として,as,toshite
34,4603205,です,is,desu
35,4517292,か,or,ka
36,4511440,会話,conversation,kaiwah
37,4399572,削除,delete,sakujo
38,4319178,この,this,kono
39,4237886,市,city,shi
40,4172373,県,prefecture,ken
41,4087004,れる,can be,reru
42,3994018,あり,there is,ahree
43,3927661,ん,n,n
44,3592448,よう,way,yoh
45,3527457,ため,for,tame
46,3512391,的,of,teki
47,3499589,編集,edit,henshuu
48,3487583,ください,please,kudasai
49,3446854,人,person,hito
50,3393215,という,called,toiu
51,3164644,など,etc.,nadoh
52,3077750,依頼,request,irai
53,3075241,なっ,not,na
54,2915854,名,name,mei
55,2911015,版,version,ban
56,2899015,でき,can,deki
57,2855370,ませ,please,mase
58,2841040,リンク,link,rinku
59,2785996,駅,station,eki
60,2618516,記事,article,kiji
61,2582555,‐,-,-
62,2580463,について,about,nitsuite
63,2561249,う,go,oo
64,2478738,その,that,sono
65,2429116,もの,thing,mono
66,2427826,投稿,post,toukou
67,2377443,ば,if,ba
68,2324190,町,town,machi
69,2303818,まし,probably,mashi
70,2202929,なる,become,naru
71,2178072,場合,case,baai
72,2114640,あっ,there is,ah
73,2104611,ノート,note,nooto
74,2071352,号,number,gou
75,2053308,方針,policy,houshin
76,2030286,回,times,kai
77,2007230,さん,Mr./Ms.,san
78,1984782,まで,until,made
79,1984114,だ,is,dah
80,1955319,中,in,naka
81,1935849,ので,because,node
82,1930524,一,one,ichi
83,1929684,放送,broadcast,housou
84,1895699,後,after,ato
85,1830729,おり,be,ori
86,1823937,人物,character,jinbutsu
87,1790311,署名,signature,shomei
88,1770654,本,this,hon
89,1766401,において,in,ni oite
90,1754259,家,house,ie
91,1733749,られ,be done,rare
92,1703312,また,also,mata
93,1687559,選手,player,senshu
94,1683111,お,oh,o
95,1672746,活動,activity,katsudou
96,1639773,東京,Tokyo,tou
